0	0	-7.124
0	0	0
0	0	0
0	0	0
0	-7.124	0
-7.124	0	0
-26.009	26.615	-4.5301
11.873	-4.5301	11.873
-4.5301	11.873	12.918
8.3822	27.759	-26.009
12.918	12.918	26.615
2.6189	47.82	2.6189
3.9516	-26.009	2.6129
2.1413	8.3822	-4.7359
26.615	2.6189	3.9516
-4.7359	-4.7359	8.3822
2.6129	3.9516	27.759
0.62273	11.147	2.1413
27.759	2.6129	9.3672
9.3672	2.1413	28.279
16.362	16.362	16.362
47.82	25.905	11.147
25.905	35.999	45.188
11.147	9.3672	47.82
35.999	0.62273	0.62273
-0.55351	45.145	25.905
25.916	25.916	45.145
53.391	64.317	38.468
3.8187	38.468	25.916
45.145	28.279	35.999
98.971	45.188	3.8187
45.188	3.8187	-0.55351
28.279	-0.55351	53.391
64.317	53.391	64.317
38.468	98.971	92.848
92.848	124.11	124.11
124.11	92.848	98.971
148.39	148.39	148.39
185.39	185.39	185.39
172.39	202.33	242.64
209.78	242.64	209.78
202.33	209.78	172.39
229.9	172.39	202.33
242.64	254.71	229.9
254.71	219.71	200.32
343.19	229.9	254.71
219.71	200.32	343.19
200.32	343.19	219.71
249.38	249.38	249.38
279.93	279.93	279.93
282.66	268.65	259.26
259.26	259.26	268.65
268.65	282.66	282.66
293.71	254.12	293.71
288.97	293.71	288.97
254.12	301.06	275.15
275.15	288.97	301.06
286.1	275.15	254.12
301.06	286.1	286.1
303.81	342.26	310.6
332.02	310.6	383.51
383.51	332.02	303.81
321.17	303.81	332.02
310.6	321.17	321.17
342.26	383.51	342.26
439.95	439.95	439.95
347.55	347.55	449.6
451.67	512.6	451.67
512.6	451.67	347.55
449.6	480.51	451.34
580.55	614.39	512.6
451.34	451.34	591.19
480.51	449.6	633.34
633.34	591.19	480.51
591.19	633.34	580.55
563.98	580.55	563.98
614.39	563.98	614.39
691.93	703.82	691.93
719.73	698.16	698.16
698.16	728.22	703.82
703.82	728.67	723.42
728.22	691.93	708.91
728.67	723.42	728.67
723.42	719.73	719.73
751.23	708.91	728.22
708.91	751.23	743.03
743.03	743.03	751.23
770.53	770.53	785.99
785.99	785.99	792.34
792.34	838.59	770.53
856.81	792.34	838.59
838.59	848.71	848.71
848.71	890.08	890.08
873	856.81	856.81
890.08	924.91	873
924.91	896.8	898.51
931.3	894.05	924.91
898.51	898.51	931.3
914.42	914.42	894.05
933.9	929.32	934.52
896.8	873	933.9
894.05	911.62	911.62
926.02	926.02	896.8
911.62	931.3	914.42
929.32	934.52	926.02
934.52	933.9	929.32
