300.56	299.67	0.01	1.6233	0.01	0.01
302.31	299.08	0.01	1.7263	0.48488	0.01
303.81	298.37	0.01	1.9975	1.9775	0.01
305.07	297.59	0.089949	2.4571	3.4589	0.01
306.14	296.76	0.79025	3.1142	3.8528	6.3544
307.05	295.9	1.3359	3.9659	3.2479	4.1811
307.84	295.04	1.7913	4.9968	2.3797	6.3041
308.54	294.2	2.2334	6.1793	1.6255	0.01
309.18	293.39	2.7437	7.4748	1.4042	5.4798
309.8	292.62	3.3992	8.8354	2.5175	4.5932
310.42	291.9	4.2639	10.207	5.0301	0.01
311.07	291.22	5.3798	11.531	7.2714	6.4483
311.78	290.58	6.7608	12.749	7.264	1.9643
312.57	289.98	8.3887	13.809	5.1172	0.01
313.46	289.39	10.212	14.665	2.6626	7.5663
314.46	288.79	12.152	15.284	1.1854	1.3907
315.6	288.18	14.104	15.65	1.083	0.01
316.89	287.51	15.955	15.764	2.5222	0.01
318.34	286.77	17.593	15.652	4.6219	0.01
319.95	285.94	18.921	15.36	5.2892	0.01
321.75	284.98	19.878	14.961	3.6417	0.01
323.75	283.86	20.445	14.548	1.7021	2.6245
325.94	282.58	20.662	14.237	2.3616	0.01
328.34	281.09	20.631	14.161	6.0562	0.01
330.96	279.4	20.52	14.467	9.8562	7.2877
333.8	277.47	20.555	15.31	10.314	8.5275
336.86	275.31	21.012	16.846	7.3597	5.363
340.16	272.9	22.198	19.229	3.9693	8.5506
343.69	270.24	24.433	22.6	2.2488	0.01
347.45	267.35	28.023	27.083	2.0959	0.01
351.45	264.23	33.236	32.776	3.111	0.01
355.67	260.89	40.281	39.75	4.9421	0.01
360.11	257.35	49.283	48.039	6.1077	0.01
364.75	253.65	60.271	57.642	5.7738	1.6117
369.58	249.8	73.169	68.516	5.7447	0.01
374.58	245.84	87.794	80.58	7.058	5.0036
379.71	241.79	103.86	93.714	6.833	1.2453
384.96	237.7	121	107.76	1.8441	10.602
390.28	233.6	138.79	122.55	0.01	0.01
395.65	229.52	156.74	137.85	0.01	0.01
401.03	225.49	174.38	153.44	0.01	0.01
406.37	221.55	191.25	169.1	0.01	0.01
411.65	217.71	206.93	184.58	0.01	0.01
416.83	214	221.08	199.64	0.0882	0.01
421.88	210.44	233.46	214.09	2.2701	0.01
426.78	207.04	243.92	227.71	1.0588	0.01
431.5	203.8	252.42	240.37	0.01	0.01
436.04	200.72	259.04	251.91	0.01	5.0547
440.42	197.81	263.92	262.26	0.01	7.4128
444.63	195.04	267.32	271.38	0.01	8.7365
448.71	192.4	269.51	279.24	0.01	7.6523
452.7	189.87	270.83	285.88	0.01	5.0259
456.67	187.41	271.6	291.38	1.3395	1.3531
460.66	185	272.11	295.83	3.3417	5.8136
464.78	182.61	272.64	299.37	1.9846	0.01
469.11	180.19	273.37	302.14	0.01	3.827
473.75	177.71	274.44	304.31	0.01	0.01
478.82	175.14	275.91	306.04	0.01	0.01
484.43	172.44	277.73	307.52	0.01	0.01
490.68	169.57	279.83	308.89	3.0652	0.01
497.7	166.51	282.04	310.32	7.3942	0.01
505.59	163.23	284.17	311.94	8.0242	5.0814
514.44	159.71	286.01	313.86	5.9809	0.01
524.33	155.94	287.33	316.19	4.0384	4.4528
535.33	151.92	287.94	318.99	3.9669	0.01
547.48	147.63	287.67	322.31	6.1431	1.9999
560.8	143.1	286.37	326.2	8.7403	0.01
575.28	138.32	284	330.66	8.6372	0.01
590.88	133.34	280.53	335.72	5.4507	0.01
607.54	128.16	276.02	341.37	2.1404	0.01
625.17	122.83	270.55	347.61	0.53966	0.01
643.65	117.38	264.27	354.45	0.01	0.01
662.84	111.86	257.36	361.89	0.01	0.01
682.57	106.32	249.99	369.97	0.01	0.33557
702.65	100.8	242.36	378.71	0.01	0.01
722.89	95.351	234.64	388.15	0.01	3.7043
743.07	90.029	226.98	398.37	0.01	7.6547
762.98	84.88	219.49	409.41	0.01	0.01
782.39	79.951	212.23	421.36	0.01	0.01
801.11	75.286	205.22	434.29	0.01	12.226
818.93	70.925	198.46	448.27	0.01	0.01
835.68	66.901	191.87	463.37	0.01	0.01
851.18	63.241	185.38	479.62	3.374	10.321
865.33	59.968	178.89	497.05	12.036	5.8207
878	57.094	172.3	515.65	14.891	3.4707
889.13	54.627	165.5	535.38	11.545	2.7255
898.7	52.567	158.43	556.15	5.4531	0.01
906.69	50.904	151.06	577.86	1.3172	0.01
913.14	49.624	143.37	600.34	1.2525	0.01
918.14	48.707	135.42	623.4	3.5507	0.39128
921.76	48.123	127.29	646.81	4.6754	4.9461
924.16	47.841	119.1	670.32	3.286	0.01
925.47	47.825	111	693.65	2.1009	0.01
925.87	48.033	103.16	716.52	3.6758	0.01
925.55	48.423	95.771	738.66	6.5372	0.66756
924.7	48.952	88.993	759.77	7.5474	1.4816
923.52	49.575	82.977	779.61	5.7062	0.01
922.18	50.249	77.839	797.97	2.8093	5.2444
920.88	50.933	73.655	814.64	1.0728	5.2838
