4.3851,3.9787,0.65096,15,15,15,15,15,1.4046,2.9162,0.18978,2.9319,15,2.2604,2.7557,0.099844,7.3783,2.7718
1.7208,15,1.484,15,15,2.8559,2.7932,2.4063,2.3056,15,-0.39583,-0.11751,15,1.6843,1.6775,1.2247,15,2.5088
15,2.6155,-1.4395,15,15,15,15,1.6222,2.864,-0.65564,-0.6771,-2.0305,15,1.306,-0.17481,-0.043122,15,1.2566
1.9474,7.0751,0.061491,15,15,2.7313,2.9352,1.2372,1.6436,0.28369,0.45454,0.93647,15,1.3774,0.99397,-0.63922,15,1.5098
0.93816,4.1101,-0.56394,15,15,15,0.72624,2.1443,4.3812,0.69844,-0.49953,0.4967,15,3.1603,1.0881,0.84976,2.8627,1.3749
1.5979,15,1.6744,15,15,7.2879,3.3938,15,1.9753,0.92789,0.43199,2.1867,15,3.2824,0.32191,0.50541,15,1.6173
0.95921,4.1898,-0.87051,15,15,15,2.6007,1.7662,3.4529,2.4198,-0.93469,0.039485,15,4.1712,1.6156,0.10286,9.3108,2.3422
1.7055,4.5469,0.90515,15,15,2.5039,5.3526,3.5155,3.4291,0.77748,0.71687,0.89213,4.5189,5.735,1.5785,0.96245,15,3.9372
4.2863,3.3639,1.3549,15,15,15,1.5554,1.4361,4.595,3.7792,1.4037,3.1556,15,5.4009,1.8834,3.0937,2.3693,2.2525
1.8063,8.3404,0.24883,15,15,2.1193,5.4312,1.1932,2.9028,0.8187,0.97854,0.54019,15,2.7668,0.93158,0.15719,15,3.2496
15,3.1552,-0.59251,15,15,15,15,2.16,15,15,2.1069,1.325,15,1.822,0.11054,0.35942,8.7543,0.93761
-0.30449,1.2077,-0.3005,15,15,15,0.38772,0.0053143,1.7625,0.33456,0.77755,-0.36235,15,1.2873,1.1702,-0.8797,15,1.5295
3.2292,3.5273,1.8984,15,15,15,4.9608,3.2681,6.2834,2.9585,-0.55507,0.64105,15,3.8695,2.2034,1.7211,15,3.1276
3.8277,3.2362,1.8291,15,15,3.6308,15,5.9681,3.9773,2.5351,0.0010718,0.85445,15,4.7674,3.2883,1.8086,4.5462,5.6821
3.3217,3.9747,0.46928,15,15,15,3.2187,15,0.61027,-0.84242,-0.75393,1.6044,15,1.1203,0.67082,-0.12487,15,2.2564
3.9964,3.9465,-0.091983,15,15,6.9439,7.7444,4.9418,3.0898,0.75372,1.2748,0.085011,15,6.0301,2.5865,1.073,15,2.5226
4.1868,3.3559,1.1647,15,15,15,15,3.4299,2.3206,2.0854,-0.84798,1.7812,3.8316,4.9876,3.5813,1.7863,15,2.5678
15,2.4043,0.72063,15,15,15,3.793,15,15,1.5753,0.63807,0.6898,15,1.8016,1.6987,0.0875,2.5391,15
2.1976,3.5416,-0.56428,15,15,15,0.67853,15,1.7597,15,15,1.6178,15,15,15,15,15,2.7485
7.7507,1.9011,0.58447,15,15,2.4472,2.8219,1.4217,0.68873,15,-0.70376,-0.021759,15,1.6817,1.2051,0.41833,15,0.009452
6.3657,4.5553,0.76932,15,15,7.3423,7.7183,6.0206,2.0688,-0.29909,-0.78854,0.88417,15,2.1844,2.8009,0.47742,15,1.5175
0.27058,3.7469,-0.25474,15,15,2.2609,15,2.7246,1.3935,0.18849,0.14479,0.12092,15,3.0349,1.8183,0.74407,3.8762,0.89009
15,2.6659,-1.5039,15,15,15,2.6336,7.3928,-0.12091,7.7945,-1.4016,-0.82296,15,1.738,1.1557,-0.8453,-0.012299,1.8178
0.99763,2.135,1.2133,15,15,15,1.4009,15,1.9464,2.1023,-0.003916,1.871,15,1.4352,1.3918,-0.92803,2.8349,2.2493
2.693,15,0.087899,15,15,15,3.7152,1.3443,1.5739,-0.78891,-1.3956,-0.9132,15,3.372,-0.079154,0.08369,2.3023,0.41516
2.0568,2.5586,-1.7072,15,15,15,15,15,1.0171,-0.23209,-0.53574,3.1126,15,15,-0.41984,1.8136,15,1.7766
1.75,5.0523,-0.1249,15,15,2.2269,2.2895,1.6819,1.5868,1.2456,0.054948,2.1962,15,3.5257,2.7624,0.80806,15,1.8473
15,3.4475,0.77111,15,15,3.2772,3.0644,5.9816,2.5597,15,-0.24151,2.0697,15,2.9247,1.9168,0.80304,15,1.1693
1.519,1.5204,0.48943,15,15,15,2.0377,15,1.4435,2.1481,-0.58595,0.072741,15,2.1851,2.4489,1.0853,15,1.9484
0.56035,2.1013,-0.30323,15,15,2.152,15,1.8338,0.31865,15,-0.35729,-0.017794,15,15,0.27897,-0.23472,4.2849,1.5772
15,2.691,-0.58324,15,15,3.8146,15,15,1.1958,0.35267,0.33966,-0.22522,15,3.8203,1.3248,-0.19392,15,3.9776
2.7521,3.6573,1.1761,15,15,15,3.9992,3.4825,2.9482,1.2585,0.67736,2.1649,15,2.7995,3.176,1.1601,15,2.3379
0.91136,1.1742,-0.11257,15,15,1.8875,4.4104,6.8142,2.3667,0.98912,-0.033301,1.2993,15,3.4397,1.9162,2.5426,15,1.8831
15,6.375,0.49678,15,15,2.206,15,15,1.0994,-0.94925,0.68263,-0.12095,15,3.7987,-0.13371,0.27263,15,2.1003
2.2728,15,0.41071,15,15,15,15,2.107,1.6025,0.59784,0.087288,0.9638,15,4.0606,0.62791,0.24181,3.4754,1.7361
15,15,-0.32366,15,15,0.009163,0.30483,15,4.0064,15,-0.17755,2.2053,15,4.1506,15,0.57533,15,1.768
0.94879,2.6215,0.13873,15,15,1.7386,15,1.4528,-0.36746,0.78763,-1.6351,-0.59205,15,0.47104,-0.76695,-0.89029,15,15
15,4.3379,0.16642,15,15,3.2271,15,15,1.8938,15,-0.40769,1.4334,15,15,1.5966,15,15,2.6417
